continent,total_cases
0,0.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,1.0
0,2.0
0,2.0
0,2.0
0,3.0
0,3.0
0,4.0
0,8.0
0,11.0
0,21.0
0,24.0
0,43.0
0,43.0
0,83.0
0,91.0
0,104.0
0,118.0
0,134.0
0,176.0
0,254.0
0,313.0
0,400.0
0,484.0
0,600.0
0,780.0
0,968.0
0,1172.0
0,1437.0
0,1818.0
0,2250.0
0,2773.0
0,3326.0
0,3885.0
0,4225.0
0,4785.0
0,5196.0
0,5781.0
0,6380.0
0,7031.0
0,7913.0
0,8592.0
0,9298.0
0,9999.0
0,10632.0
0,11436.0
0,12248.0
0,12911.0
0,13627.0
0,14491.0
0,15265.0
0,16235.0
0,17192.0
0,18360.0
0,19766.0
0,21072.0
0,22281.0
0,23439.0
0,24509.0
0,25911.0
0,27349.0
0,29068.0
0,30299.0
0,31833.0
0,33167.0
0,34794.0
0,36807.0
0,38753.0
0,40479.0
0,42707.0
0,44301.0
0,46959.0
0,48997.0
0,51543.0
0,54033.0
0,57657.0
0,60507.0
0,63086.0
0,66152.0
0,69312.0
0,72227.0
0,75346.0
0,78274.0
0,81277.0
0,84590.0
0,88258.0
0,91270.0
0,95062.0
0,99754.0
0,103629.0
0,107491.0
0,111617.0
0,115733.0
0,119445.0
0,124524.0
0,129443.0
0,135191.0
0,141311.0
0,146559.0
0,152344.0
0,157229.0
0,162316.0
0,169422.0
0,176618.0
0,183213.0
0,189550.0
0,196198.0
0,202670.0
0,209216.0
0,216618.0
0,224695.0
0,232796.0
0,241563.0
0,251184.0
0,258797.0
0,267529.0
0,275783.0
0,285609.0
0,296939.0
0,306381.0
0,315370.0
0,324421.0
0,335779.0
0,347729.0
0,359306.0
0,371590.0
0,382237.0
0,393285.0
0,404901.0
0,418128.0
0,432321.0
0,447480.0
0,462987.0
0,476627.0
0,490344.0
0,507818.0
0,522544.0
0,541756.0
0,559436.0
0,578251.0
0,594945.0
0,611016.0
0,625451.0
0,643502.0
0,663943.0
0,683483.0
0,702498.0
0,721052.0
0,736577.0
0,750441.0
0,770055.0
0,788522.0
0,810633.0
0,828784.0
0,847099.0
0,860527.0
0,874026.0
0,891668.0
0,909075.0
0,928080.0
0,945000.0
0,957749.0
0,968602.0
0,978517.0
0,993891.0
0,1008219.0
0,1021711.0
0,1035919.0
0,1048275.0
0,1057407.0
0,1065290.0
0,1074548.0
0,1084941.0
0,1097486.0
0,1109301.0
0,1119254.0
0,1128126.0
0,1136763.0
0,1147658.0
0,1158267.0
0,1168539.0
0,1178972.0
0,1188025.0
0,1195541.0
0,1203084.0
0,1211939.0
0,1220494.0
0,1228603.0
0,1236973.0
0,1245430.0
0,1252235.0
0,1259392.0
0,1268106.0
0,1275853.0
0,1284431.0
0,1291823.0
0,1299646.0
0,1306522.0
0,1314201.0
0,1322496.0
0,1330546.0
0,1339238.0
0,1346648.0
0,1353396.0
0,1359879.0
0,1366445.0
0,1373755.0
0,1382360.0
0,1390521.0
0,1399248.0
0,1407667.0
0,1413815.0
0,1420654.0
0,1429381.0
0,1437567.0
0,1445544.0
0,1451954.0
0,1460323.0
0,1465992.0
0,1473501.0
0,1481935.0
0,1489195.0
0,1498052.0
0,1506882.0
0,1514968.0
0,1519682.0
0,1526279.0
0,1536822.0
0,1547730.0
0,1556287.0
0,1569821.0
0,1578796.0
0,1584683.0
0,1592517.0
0,1604025.0
0,1613141.0
0,1623827.0
0,1638089.0
0,1646282.0
0,1655970.0
0,1665746.0
0,1676224.0
0,1687194.0
0,1697629.0
0,1709368.0
0,1718462.0
0,1729180.0
0,1737830.0
0,1749730.0
0,1760801.0
0,1774400.0
0,1785474.0
0,1795770.0
0,1803356.0
0,1814230.0
0,1828232.0
0,1843625.0
0,1855345.0
0,1870362.0
0,1882860.0
0,1891749.0
0,1904922.0
0,1918922.0
0,1934703.0
0,1949381.0
0,1963452.0
0,1976022.0
0,1986326.0
0,1999194.0
0,2014495.0
0,2028429.0
0,2044162.0
0,2057518.0
0,2070297.0
0,2080374.0
0,2092877.0
0,2107544.0
0,2121467.0
0,2137506.0
0,2150902.0
0,2163973.0
0,2174323.0
0,2185161.0
0,2201574.0
0,2217275.0
0,2235257.0
0,2249959.0
0,2263422.0
0,2274050.0
0,2287308.0
0,2306704.0
0,2325838.0
0,2344919.0
0,2363052.0
0,2379274.0
0,2390592.0
0,2408594.0
0,2429819.0
0,2450327.0
0,2469647.0
0,2490907.0
0,2509333.0
0,2526114.0
0,2546100.0
0,2571829.0
0,2598873.0
0,2624658.0
0,2646039.0
0,2664714.0
0,2679925.0
0,2700053.0
0,2730670.0
0,2760459.0
0,2788167.0
0,2811086.0
0,2833076.0
0,2854868.0
0,2881715.0
0,2917507.0
0,2952909.0
0,2989382.0
0,3024481.0
0,3056088.0
0,3084121.0
0,3110249.0
0,3144246.0
0,3178474.0
0,3210049.0
0,3237617.0
0,3264186.0
0,3286662.0
0,3310072.0
0,3338409.0
0,3366274.0
0,3392453.0
0,3419761.0
0,3439881.0
0,3456576.0
0,3475174.0
0,3496001.0
0,3516781.0
0,3536003.0
0,3553865.0
0,3569617.0
0,3582328.0
0,3597149.0
0,3612611.0
0,3629085.0
0,3644992.0
0,3658537.0
0,3670261.0
0,3681674.0
0,3693025.0
0,3706143.0
0,3718013.0
0,3731935.0
0,3742849.0
0,3753174.0
0,3763067.0
0,3773094.0
0,3785411.0
0,3799304.0
0,3810323.0
0,3819882.0
0,3829402.0
0,3838419.0
0,3846159.0
0,3856688.0
0,3868959.0
0,3880062.0
0,3887893.0
0,3897307.0
0,3906140.0
0,3913848.0
0,3924756.0
0,3937138.0
0,3945707.0
0,3955660.0
0,3964055.0
0,3973332.0
0,3981161.0
0,3991582.0
0,4006913.0
0,4016737.0
0,4027046.0
0,4035708.0
0,4044120.0
0,4053103.0
0,4064224.0
0,4075556.0
0,4088217.0
0,4097421.0
0,4106515.0
0,4116102.0
0,4124688.0
0,4135583.0
0,4148073.0
0,4166617.0
0,4176092.0
0,4185092.0
0,4194799.0
0,4204561.0
0,4217313.0
0,4239457.0
0,4252635.0
0,4261416.0
0,4270919.0
0,4280173.0
0,4289749.0
0,4301423.0
0,4318252.0
0,4330793.0
0,4340514.0
0,4350198.0
0,4360387.0
0,4370297.0
0,4384217.0
0,4396924.0
0,4408953.0
0,4422316.0
0,4431640.0
0,4440393.0
0,4450504.0
0,4462371.0
0,4474950.0
0,4487054.0
0,4497207.0
0,4506744.0
0,4513541.0
0,4523057.0
0,4532581.0
0,4548180.0
0,4557699.0
0,4565548.0
0,4571597.0
0,4578852.0
0,4586033.0
0,4595309.0
0,4608099.0
0,4616997.0
0,4623004.0
0,4632506.0
0,4641049.0
0,4648116.0
0,4656979.0
0,4666422.0
0,4674423.0
0,4681225.0
0,4688159.0
0,4695992.0
0,4706525.0
0,4716496.0
0,4727889.0
0,4737956.0
0,4747809.0
0,4755948.0
0,4765208.0
0,4771033.0
0,4785104.0
0,4796975.0
0,4809315.0
0,4821025.0
0,4826891.0
0,4840460.0
0,4850462.0
0,4864178.0
0,4878800.0
0,4894158.0
0,4906711.0
0,4919397.0
0,4930955.0
0,4943817.0
0,4962319.0
0,4983768.0
0,5004130.0
0,5024662.0
0,5041382.0
0,5057604.0
0,5077344.0
0,5103645.0
0,5131055.0
0,5154996.0
0,5178520.0
